Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
246,67.925,74.82589722,74.99184899,76.80593506,75.48947906
247,71,73.38757324,73.32294483,75.06503022,73.45362854
248,80.80555556,77.87728882,81.19509279,80.01895395,77.92154694
249,75.3125,75.32940674,75.43758941,76.14813521,75.6495285
250,83.89908257,81.47567749,81.07684871,83.04947372,81.69889832
251,84.53333333,79.3890686,80.78387656,81.18632712,80.56318665
252,32,71.81307983,72.07903332,74.67411809,72.21244049
253,75.75,71.9571228,72.83587405,75.71198996,71.81156158
254,70.33333333,72.06170654,72.27305283,74.2028049,72.37739563
255,50,73.63153076,74.02368502,76.18136837,74.32972717
256,50,76.81997681,77.3080492,79.67645689,77.73101044
257,73.83333333,73.88027954,74.09538667,75.70952964,74.49268341
258,90.31578947,83.63000488,82.9703042,82.45355797,84.1322403
259,79,71.31756592,71.59794343,74.19301197,71.66872406
260,84.79710145,77.68649292,78.04671344,80.22092947,76.49645233
261,78.83333333,71.97644043,72.18109197,73.53194061,72.30253601
262,44.5,70.97836304,71.3287405,74.03498856,71.38948822
263,76,70.30368042,70.39437858,72.62521946,70.17462921
264,79.70754717,82.55560303,86.2121071,85.14871028,83.7525177
265,85.33333333,73.14865112,72.79467416,75.13123501,72.8481369
266,74.9047619,73.37997437,72.39926134,76.78728781,72.5147934
267,78.14285714,76.68188477,76.88777651,77.943842,77.39842987
268,56,69.17861938,69.41996786,72.65185537,69.25830078
269,74.30107527,79.05142212,79.34898605,81.56382351,77.91487885
270,84.77192982,88.63717651,90.45258133,84.03894057,88.85764313
271,84.62280702,81.81039429,79.9497458,84.62276243,84.88932037
272,84,81.21551514,84.52768714,84.00020126,83.95001984
273,82,75.54101563,75.77871615,76.7270847,76.08744049
274,64,68.54721069,66.51624465,73.78231894,68.91239929
275,85.18681319,87.5291748,85.6319148,83.88451748,86.84975433
276,85.80208333,94.02420044,95.92361166,89.79259094,92.76259613
277,76.88888889,72.96878052,73.56055479,75.93063483,73.70050812
278,53.46666667,65.57290649,60.61213411,72.38484995,65.61037445
279,70.875,70.22540283,71.01466445,73.09070959,70.50423431
280,78.44736842,74.61654663,75.32988445,78.59902704,74.95423126
281,75.88235294,84.36309814,84.05194321,81.45319194,84.36833191
282,83,72.62799072,73.13229802,74.66691034,73.09836578
283,90.05504587,86.38339233,85.49560176,86.70303072,86.35803986
284,83.859375,84.91751099,83.75481328,84.95571216,85.22068024
285,58.27272727,70.78466797,71.34980405,73.55978141,70.99849701
286,83.82051282,73.08676147,73.83468047,77.00596087,73.00773621
287,76.14705882,70.90335083,71.30952293,74.42112899,70.75525665
288,78.69512195,81.75106812,81.40149543,81.64287971,81.43791962
289,86.31944444,80.90200806,83.61184136,86.85457448,82.39468384
290,83.98305085,83.36001587,83.1100349,83.62550974,82.30278778
291,68.22727273,70.92941284,72.11826892,74.84794977,70.60702515
292,78.18,76.82116699,78.25202195,81.65342253,76.61145782
293,89.2,88.63522339,88.92641926,87.80597548,88.97599792
294,80,85.48049927,85.89557577,81.55802097,85.11723328
295,77.3,78.19815063,78.17607995,80.2005411,78.95270538
296,78.48051948,82.34963989,82.22072303,81.46515673,82.19798279
